AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
Network Scans;3;"Valid Credential Use, 
Initial Access";"IDS: “Dovecot Authentication Success.”, mitre – technique: “Valid Accounts”, id: “T1078”, tactic: “Defense Evasion”, “Persistence”, “Privilege Escalation”, “Initial Access”
Raw Data: “dovecot: imap-login: Login: user=<damian.jordan>, method=PLAIN”";Classification probably based on IDS mitre classification;Alternate explanation for alert
Network Scans;1;"TLS Protocol Anomaly,
Potential Protocol Evasion";"IDS: “IDS event.”
Raw Data: “SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name TLS and malformed TLS packet;Too generic
Network Scans;1;"TLS Protocol Anomaly,
Potential Protocol Evasion";IDS: “Suricata: Alert – SURICATA TLS invalid handshake message”;Classification probably based on protocol name TLS and invalid handshake message;Too generic
Network Scans;1;"TLS Protocol Anomaly,
Potential Protocol Evasion";IDS: “Suricata: Alert - SURICATA TLS invalid record/traffic”;Classification probably based on protocol name TLS and malformed TLS packet;Too generic
Network Scans;1;"TLS Protocol Anomaly,
Potential Protocol Evasion";"IDS: “IDS event.”
Raw Data: “SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name TLS and invalid handshake message;Too generic
Service Scans;3;"SSH Reconnaissance,
Scanning";"IDS: “sshd: insecure connection attempt (scan).”, mitre: technique – “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “internal-share sshd[28182]: Did not receive identification string from [IP]”";Classification probably based on IDS mitre classification and raw data information;Correct & expressive
Service Scans;1;"Reconnaissance,
Lateral Movement";"IDS: “sshd: insecure connection attempt (scan).”, mitre – technique: “SSH”, id: “T1021.004”, tactic: “Lateral Movement”
Raw Data: “webserver sshd[25473]: Did not receive identification string from [IP] port [port]”";Classification probably based on IDS mitre classification;Too generic
Service Scans;1;Web Application Reconnaissance;"IDS: “Web server 400 error code.”,
Raw Data: “GET / HTTP/1.0 403 363 - -”";Classification probably based on http status code 403 and attempted access to root directory;Too generic
Service Scans;1;"Protocol Manipulation,
Network Reconnaissance";"IDS: “First time this IDS alert is generated.”
Raw Data: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on protocol name SMTP and tool name suricata;Too generic
Service Scans;2;"Access Denied,
Unauthorized Access Attempt";"IDS: “Apache: Attempt to access forbidden file or directory.”
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification probably based on attempted access to web base directory;Too generic
