AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
Network Scans;4;"Network Protocol Anomaly,
Evasion";IDS: “Suricata: Alert - SURICATA TLS invalid record/traffic”;Classification probably based on tool name Suricata and protocol name TLS;Too generic
Network Scans;3;"Network Protocol Anomaly,
Evasion";IDS: “Suricata: Alert - SURICATA TLS invalid handshake message”;Classification probably based on tool name Suricata and protocol name TLS;Too generic
Network Scans;3;"Network Protocol Anomaly,
Evasion";"IDS: “IDS event.”
Raw Data: “SURICATA TLS invalid handshake message [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name Suricata and protocol name TLS;Too generic
Network Scans;1;"Network Protocol Anomaly,
Evasion";"IDS: “IDS event.”
Raw Data: “SURICATA TLS invalid record/traffic [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on tool name Suricata and protocol name TLS;Too generic
Service Scans;4;"Network Scan,
Reconnaissance";"IDS: “sshd: insecure connection attempt (scan).”,
Raw Data: “internal-share sshd[28182]: Did not receive identification string from [IP] port [Port]”";Classification probably based on low line “did not receive identification”;Correct & expressive
Service Scans;1;"Web Application Attack, 
Reconnaissance";"IDS: “Web server 400 error code.”,
Raw Data: “GET / HTTP/1.0 403 363 - - ”";Classification probably based on IDS description;Too generic
Service Scans;1;"Network Protocol Anomaly, 
Evasion";"IDS: “First time this IDS alert is generated.”,
Raw Data: “SURICATA SMTP invalid reply [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP}”";Classification probably based on the raw log data;Alternate explanation for alert
Service Scans;2;"Web Application Attack,  
Reconnaissance";"IDS: “Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Scanning not represented;Too generic
Service Scans;2;"Web Application Attack, 
Reconnaissance, 
Vulnerability Scanning";"IDS: “Web server 400 error code.”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 3260 - ""Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”, “POST /sdk HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name in log line nmap and the 403 error code;Correct & expressive
Service Scans;1;"Web Application Attack, 
Reconnaissance, 
Vulnerability Scanning";"IDS: “Attempt to access forbidden file or directory.”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/nmaplowercheck1642508249”";Classification probably based on tool name nmap and IDS classification ;Correct & expressive
WPScan;12;"Web Application Attack, 
Reconnaissance, 
Vulnerability Scanning";"IDS: “Web server 400 error code.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”,
Raw Data: “HEAD /wp-content/plugins/change-wp-admin-login/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan;Correct & expressive
WPScan;4;"Web Application Attack, 
Reconnaissance, 
Vulnerability Scanning";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “HEAD /wp-content/plugins/constant-contact-forms/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification probably based on tool name WPScan;Correct & expressive
Dirb;5;"Web Application Attack, 
Reconnaissance";"IDS: “Web server 400 error code.”, 
Raw Data: “GET /academics HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on IDS description;Too generic
Dirb;1;"Web Application Attack, 
Reconnaissance";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance”
Raw Data: “GET /accountants HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on IDS description;Too generic
Dirb;2;"Web Application Attack, 
Reconnaissance, 
Vulnerability Scanning";"IDS: “Multiple web server 400 error codes from same source ip.”, mitre – technique: “Vulnerability Scanning”, id: “T1595.002”, tactic: “Reconnaissance” 
Raw Data: “GET /bea HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";Classification probably based on the mitre IDS classification;Correct & expressive
Dirb;6;"Web Application Attack, 
Reconnaissance, 
Vulnerability Scanning";"IDS: “Web server 400 error code.”, 
Raw Data: “GET /wp-admin/user/webcalendar HTTP/1.1 404 363 - Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)”";;Correct & expressive
Dirb;1;"Web Application Attack, 
Access Denied, 
Reconnaissance";"IDS: “Attempt to access forbidden file or directory.”, 
Raw Data: “AH01630: client denied by server configuration: /var/www/intranet.price.fox.org/wp-content/plugins/.htpasswd_”";Scanning not represented;Too generic
Password Cracking;2;"Network Anomaly, 
Protocol Anomaly, 
Reconnaissance";IDS: “Suricata: Alert - SURICATA HTTP unable to match response to request”;Classification probably based on tool name suricata;Too generic
Password Cracking;8;"Network Anomaly, 
Protocol Anomaly";IDS: “SURICATA TLS invalid handshake message”, “SURICATA TLS invalid record/traffic”;Classification probably based on tool name suricata;Too generic
