AT;#;Classification;Attack Line Content;Description;Correct Attack Type?
DNSteal;1;"Initial Access, 
Reconnaissance";"IDS: “Unusual occurrence frequencies of query records in DNS logs.”, “Frequency anomaly detected.”,
Raw Data: “dnsmasq[14522]: query[A] mail.price.fox.org from [IP]”";The data exfiltration attack is not really about Initial Access or Reconnaissance;Too generic
Service Scans;3;Credential Access;"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “taylorcruz-mail dovecot: imap-login: Disconnected (no auth attempts in 0 secs)”";Scanning not represented;Alternate explanation for alert
Service Scans;2;"Initial Access,  
Reconnaissance";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";The classifications are both really general;Too generic
Service Scans;1;"Protocol Misuse, 
Encryption Downgrade Attempt";"IDS: “New event type.”, “New path(es) detected”,
Raw Data: “TLS error on connection from [IP] (gnutls_handshake): An unexpected TLS packet was received.”";While the classification is in line with the alert it is not what it is labelled as;Alternate explanation for alert
Service Scans;1;"Active Scanning, 
Web Application Fingerprinting";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /nmaplowercheck1642508249 HTTP/1.1 403 363 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
Service Scans;1;"Active Scanning, 
Vulnerability Scanning";"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “POST /sdk HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
Service Scans;1;Active Scanning;"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET / HTTP/1.0 403 363""";Classification probably based on tool 403 http status code;Correct & expressive
Service Scans ;2;Network Scanning;"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “POST /sdk HTTP/1.1 403 3260 - Mozilla/5.0 (compatible; Nmap Scripting Engine; https://nmap.org/book/nse.html)”";Classification probably based on tool name nmap;Correct & expressive
Service Scans;3;Application Exploitation Attempt;"IDS: “New event type.”, “New path(es) detected”, 
Raw Data: “AH01630: client denied by server configuration: /var/www/html/HNAP1”";The classification does not tell anything about the attack;Too generic
Service Scans;2;Directory Enumeration;"IDS: “New event type”, “New path(es) detected”,
Raw Data: “AH01630: client denied by server configuration: /var/www/html/”";Classification based on the attempted access to root web directory that was denied;Correct & expressive
WPScan;1;Vulnerability Scanning;"IDS: “New status code in Apache Access log.”, “New value(s) detected”,
Raw Data: “GET /wp-content/plugins/akismet/ HTTP/1.1 403 3362 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification based on tool name WPScan and 403 http code;Correct & expressive
WPScan;2;Vulnerability Scanning;"IDS: “New request method in Apache Access log.”, “New value(s) detected”,
Raw Data: “HEAD /wp-content/plugins/analytics-for-wp/ HTTP/1.1 404 146 https://intranet.price.fox.org WPScan v3.8.20 (https://wpscan.com/wordpress-security-scanner)”";Classification based on tool name WPScan and 404 http code;Correct & expressive
